 5.00000000e-12  4.99999795e-06 
 1.00000000e-11  9.99999577e-06 
 2.00000000e-11  1.99999912e-05 
 4.00000000e-11  3.99999811e-05 
 8.00000000e-11  7.99999576e-05 
 1.60000000e-10  1.59999899e-04 
 3.20000000e-10  3.19999732e-04 
 5.00000000e-10  4.99999460e-04 
 5.32000000e-10  5.31999401e-04 
 5.96000000e-10  5.95999274e-04 
 7.24000000e-10  7.23998982e-04 
 9.80000000e-10  9.79998219e-04 
 1.48000000e-09  1.47999593e-03 
 1.98000000e-09  1.97999240e-03 
 2.48000000e-09  2.47998737e-03 
 2.98000000e-09  2.97998060e-03 
 3.48000000e-09  3.47997184e-03 
 3.98000000e-09  3.97996084e-03 
 4.48000000e-09  4.47994734e-03 
 4.98000000e-09  4.97993111e-03 
 5.48000000e-09  5.47991188e-03 
 5.98000000e-09  5.97988941e-03 
 6.48000000e-09  6.47986345e-03 
 6.98000000e-09  6.97983375e-03 
 7.48000000e-09  7.47980006e-03 
 7.98000000e-09  7.97976213e-03 
 8.48000000e-09  8.47971970e-03 
 8.98000000e-09  8.97967254e-03 
 9.48000000e-09  9.47962039e-03 
 9.98000000e-09  9.97956299e-03 
 1.04800000e-08  1.04795001e-02 
 1.09800000e-08  1.09794315e-02 
 1.14800000e-08  1.14793569e-02 
 1.19800000e-08  1.19792760e-02 
 1.24800000e-08  1.24791887e-02 
 1.29800000e-08  1.29790946e-02 
 1.34800000e-08  1.34789935e-02 
 1.39800000e-08  1.39788852e-02 
 1.44800000e-08  1.44787694e-02 
 1.49800000e-08  1.49786458e-02 
 1.54800000e-08  1.54785143e-02 
 1.59800000e-08  1.59783745e-02 
 1.64800000e-08  1.64782263e-02 
 1.69800000e-08  1.69780693e-02 
 1.74800000e-08  1.74779033e-02 
 1.79800000e-08  1.79777280e-02 
 1.84800000e-08  1.84775433e-02 
 1.89800000e-08  1.89773489e-02 
 1.94800000e-08  1.94771444e-02 
 1.99800000e-08  1.99769297e-02 
 2.04800000e-08  2.04767046e-02 
 2.09800000e-08  2.09764686e-02 
 2.14800000e-08  2.14762217e-02 
 2.19800000e-08  2.19759636e-02 
 2.24800000e-08  2.24756940e-02 
 2.29800000e-08  2.29754126e-02 
