 5.00000000e-12  1.00000000e+03  5.00000000e-12  2.49999900e-08  5.00000000e-12  4.99999795e-06 
 1.00000000e-11  1.00000000e+03  1.00000000e-11  7.49999691e-08  1.00000000e-11  9.99999577e-06 
 2.00000000e-11  1.00000000e+03  2.00000000e-11  2.24999904e-07  2.00000000e-11  1.99999912e-05 
 4.00000000e-11  9.99999999e+02  4.00000000e-11  8.24999627e-07  4.00000000e-11  3.99999811e-05 
 8.00000000e-11  9.99999997e+02  8.00000000e-11  3.22499840e-06  8.00000000e-11  7.99999576e-05 
 1.60000000e-10  9.99999987e+02  1.60000000e-10  1.28249927e-05  1.60000000e-10  1.59999899e-04 
 3.20000000e-10  9.99999949e+02  3.20000000e-10  5.12249631e-05  3.20000000e-10  3.19999732e-04 
 5.00000000e-10  9.99999875e+02  5.00000000e-10  1.25024890e-04  5.00000000e-10  4.99999460e-04 
 5.32000000e-10  9.99999858e+02  5.32000000e-10  1.42048871e-04  5.32000000e-10  5.31999401e-04 
 5.96000000e-10  9.99999822e+02  5.96000000e-10  1.78144829e-04  5.96000000e-10  5.95999274e-04 
 7.24000000e-10  9.99999737e+02  7.24000000e-10  2.62624717e-04  7.24000000e-10  7.23998982e-04 
 9.80000000e-10  9.99999519e+02  9.80000000e-10  4.80736359e-04  9.80000000e-10  9.79998219e-04 
 1.48000000e-09  9.99998904e+02  1.48000000e-09  1.09573490e-03  1.48000000e-09  1.47999593e-03 
 1.98000000e-09  9.99998039e+02  1.98000000e-09  1.96073198e-03  1.98000000e-09  1.97999240e-03 
 2.48000000e-09  9.99996924e+02  2.48000000e-09  3.07572692e-03  2.48000000e-09  2.47998737e-03 
 2.98000000e-09  9.99995559e+02  2.98000000e-09  4.44071891e-03  2.98000000e-09  2.97998060e-03 
 3.48000000e-09  9.99993944e+02  3.48000000e-09  6.05570702e-03  3.48000000e-09  3.47997184e-03 
 3.98000000e-09  9.99992079e+02  3.98000000e-09  7.92069019e-03  3.98000000e-09  3.97996084e-03 
 4.48000000e-09  9.99989964e+02  4.48000000e-09  1.00356672e-02  4.48000000e-09  4.47994734e-03 
 4.98000000e-09  9.99987599e+02  4.98000000e-09  1.24006369e-02  4.98000000e-09  4.97993111e-03 
 5.48000000e-09  9.99984984e+02  5.48000000e-09  1.50155976e-02  5.48000000e-09  5.47991188e-03 
 5.98000000e-09  9.99982119e+02  5.98000000e-09  1.78805479e-02  5.98000000e-09  5.97988941e-03 
 6.48000000e-09  9.99979005e+02  6.48000000e-09  2.09954861e-02  6.48000000e-09  6.47986345e-03 
 6.98000000e-09  9.99975640e+02  6.98000000e-09  2.43604104e-02  6.98000000e-09  6.97983375e-03 
 7.48000000e-09  9.99972025e+02  7.48000000e-09  2.79753189e-02  7.48000000e-09  7.47980006e-03 
 7.98000000e-09  9.99968160e+02  7.98000000e-09  3.18402094e-02  7.98000000e-09  7.97976213e-03 
 8.48000000e-09  9.99964045e+02  8.48000000e-09  3.59550799e-02  8.48000000e-09  8.47971970e-03 
 8.98000000e-09  9.99959680e+02  8.98000000e-09  4.03199279e-02  8.98000000e-09  8.97967254e-03 
 9.48000000e-09  9.99955065e+02  9.48000000e-09  4.49347512e-02  9.48000000e-09  9.47962039e-03 
 9.98000000e-09  9.99950200e+02  9.98000000e-09  4.97995470e-02  9.98000000e-09  9.97956299e-03 
 1.04800000e-08  9.99945086e+02  1.04800000e-08  5.49143128e-02  1.04800000e-08  1.04795001e-02 
 1.09800000e-08  9.99939721e+02  1.09800000e-08  6.02790457e-02  1.09800000e-08  1.09794315e-02 
 1.14800000e-08  9.99934106e+02  1.14800000e-08  6.58937428e-02  1.14800000e-08  1.14793569e-02 
 1.19800000e-08  9.99928242e+02  1.19800000e-08  7.17584010e-02  1.19800000e-08  1.19792760e-02 
 1.24800000e-08  9.99922127e+02  1.24800000e-08  7.78730172e-02  1.24800000e-08  1.24791887e-02 
 1.29800000e-08  9.99915762e+02  1.29800000e-08  8.42375880e-02  1.29800000e-08  1.29790946e-02 
 1.34800000e-08  9.99909148e+02  1.34800000e-08  9.08521100e-02  1.34800000e-08  1.34789935e-02 
 1.39800000e-08  9.99902283e+02  1.39800000e-08  9.77165797e-02  1.39800000e-08  1.39788852e-02 
 1.44800000e-08  9.99895169e+02  1.44800000e-08  1.04830993e-01  1.44800000e-08  1.44787694e-02 
 1.49800000e-08  9.99887805e+02  1.49800000e-08  1.12195347e-01  1.49800000e-08  1.49786458e-02 
 1.54800000e-08  9.99880190e+02  1.54800000e-08  1.19809637e-01  1.54800000e-08  1.54785143e-02 
 1.59800000e-08  9.99872326e+02  1.59800000e-08  1.27673859e-01  1.59800000e-08  1.59783745e-02 
 1.64800000e-08  9.99864212e+02  1.64800000e-08  1.35788010e-01  1.64800000e-08  1.64782263e-02 
 1.69800000e-08  9.99855848e+02  1.69800000e-08  1.44152083e-01  1.69800000e-08  1.69780693e-02 
 1.74800000e-08  9.99847234e+02  1.74800000e-08  1.52766077e-01  1.74800000e-08  1.74779033e-02 
 1.79800000e-08  9.99838370e+02  1.79800000e-08  1.61629984e-01  1.79800000e-08  1.79777280e-02 
 1.84800000e-08  9.99829256e+02  1.84800000e-08  1.70743802e-01  1.84800000e-08  1.84775433e-02 
 1.89800000e-08  9.99819892e+02  1.89800000e-08  1.80107525e-01  1.89800000e-08  1.89773489e-02 
 1.94800000e-08  9.99810279e+02  1.94800000e-08  1.89721149e-01  1.94800000e-08  1.94771444e-02 
 1.99800000e-08  9.99800415e+02  1.99800000e-08  1.99584667e-01  1.99800000e-08  1.99769297e-02 
 2.04800000e-08  9.99790302e+02  2.04800000e-08  2.09698076e-01  2.04800000e-08  2.04767046e-02 
 2.09800000e-08  9.99779939e+02  2.09800000e-08  2.20061369e-01  2.09800000e-08  2.09764686e-02 
 2.14800000e-08  9.99769325e+02  2.14800000e-08  2.30674542e-01  2.14800000e-08  2.14762217e-02 
 2.19800000e-08  9.99758462e+02  2.19800000e-08  2.41537588e-01  2.19800000e-08  2.19759636e-02 
 2.24800000e-08  9.99747349e+02  2.24800000e-08  2.52650502e-01  2.24800000e-08  2.24756940e-02 
 2.29800000e-08  9.99735987e+02  2.29800000e-08  2.64013279e-01  2.29800000e-08  2.29754126e-02 
 2.34800000e-08  9.99724374e+02  2.34800000e-08  2.75625912e-01  2.34800000e-08  2.34751193e-02 
 2.39800000e-08  9.99712512e+02  2.39800000e-08  2.87488395e-01  2.39800000e-08  2.39748137e-02 
 2.44800000e-08  9.99700399e+02  2.44800000e-08  2.99600723e-01  2.44800000e-08  2.44744956e-02 
 2.49800000e-08  9.99688037e+02  2.49800000e-08  3.11962888e-01  2.49800000e-08  2.49741648e-02 
 2.54800000e-08  9.99675425e+02  2.54800000e-08  3.24574884e-01  2.54800000e-08  2.54738210e-02 
 2.59800000e-08  9.99662563e+02  2.59800000e-08  3.37436705e-01  2.59800000e-08  2.59734639e-02 
 2.64800000e-08  9.99649452e+02  2.64800000e-08  3.50548345e-01  2.64800000e-08  2.64730934e-02 
