 1.52511642e-05 -6.08428598e-01  1.52511642e-05 -1.40141665e+00 
 1.65011642e-05 -6.14429530e-01  1.65011642e-05 -1.42109049e+00 
 1.77511642e-05 -6.19723450e-01  1.77511642e-05 -1.43834156e+00 
 1.90011642e-05 -6.24349277e-01  1.90011642e-05 -1.45334004e+00 
 2.02511642e-05 -6.28358236e-01  2.02511642e-05 -1.46628431e+00 
 2.15011642e-05 -6.31808299e-01  2.15011642e-05 -1.47738490e+00 
 2.27511642e-05 -6.34759698e-01  2.27511642e-05 -1.48685291e+00 
 2.40011642e-05 -6.37271831e-01  2.40011642e-05 -1.49489104e+00 
 2.52511642e-05 -6.39400991e-01  2.52511642e-05 -1.50168864e+00 
 2.65011642e-05 -6.41199189e-01  2.65011642e-05 -1.50741793e+00 
 2.77511642e-05 -6.42713332e-01  2.77511642e-05 -1.51223346e+00 
 2.90011642e-05 -6.43985187e-01  2.90011642e-05 -1.51627113e+00 
 3.02511642e-05 -6.45051288e-01  3.02511642e-05 -1.51965001e+00 
 3.15011642e-05 -6.45943459e-01  3.15011642e-05 -1.52247240e+00 
 3.27511642e-05 -6.46688961e-01  3.27511642e-05 -1.52482676e+00 
 3.40011642e-05 -6.47311253e-01  3.40011642e-05 -1.52678771e+00 
 3.52511642e-05 -6.47830109e-01  3.52511642e-05 -1.52841947e+00 
 3.65011642e-05 -6.48262459e-01  3.65011642e-05 -1.52977527e+00 
 3.77511642e-05 -6.48622369e-01  3.77511642e-05 -1.53090109e+00 
 3.90011642e-05 -6.48921903e-01  3.90011642e-05 -1.53183430e+00 
 4.02511642e-05 -6.49170927e-01  4.02511642e-05 -1.53260757e+00 
 4.15011642e-05 -6.49377972e-01  4.15011642e-05 -1.53324680e+00 
 4.27511642e-05 -6.49549892e-01  4.27511642e-05 -1.53377512e+00 
 4.40011642e-05 -6.49692687e-01  4.40011642e-05 -1.53421033e+00 
 4.52511642e-05 -6.49811094e-01  4.52511642e-05 -1.53456874e+00 
 4.65011642e-05 -6.49909312e-01  4.65011642e-05 -1.53486255e+00 
 4.77511642e-05 -6.49990614e-01  4.77511642e-05 -1.53510318e+00 
 4.90011642e-05 -6.50057915e-01  4.90011642e-05 -1.53529907e+00 
 5.02511642e-05 -6.50113490e-01  5.02511642e-05 -1.53545809e+00 
 5.15011642e-05 -6.50159345e-01  5.15011642e-05 -1.53558616e+00 
 5.27511642e-05 -6.50197072e-01  5.27511642e-05 -1.53568863e+00 
 5.40011642e-05 -6.50228043e-01  5.40011642e-05 -1.53576971e+00 
 5.52511642e-05 -6.50253373e-01  5.52511642e-05 -1.53583301e+00 
 5.65011642e-05 -6.50274002e-01  5.65011642e-05 -1.53588151e+00 
 5.77511642e-05 -6.50290707e-01  5.77511642e-05 -1.53591769e+00 
 5.90011642e-05 -6.50304137e-01  5.90011642e-05 -1.53594361e+00 
 6.02511642e-05 -6.50314832e-01  6.02511642e-05 -1.53596100e+00 
 6.15011642e-05 -6.50323239e-01  6.15011642e-05 -1.53597128e+00 
 6.27511642e-05 -6.50329733e-01  6.27511642e-05 -1.53597566e+00 
 6.40011642e-05 -6.50334625e-01  6.40011642e-05 -1.53597513e+00 
 6.52511642e-05 -6.50338174e-01  6.52511642e-05 -1.53597053e+00 
 6.65011642e-05 -6.50340596e-01  6.65011642e-05 -1.53596255e+00 
 6.77511642e-05 -6.50342072e-01  6.77511642e-05 -1.53595176e+00 
 6.90011642e-05 -6.50342750e-01  6.90011642e-05 -1.53593865e+00 
 7.02511642e-05 -6.50342757e-01  7.02511642e-05 -1.53592362e+00 
 7.15011642e-05 -6.50342198e-01  7.15011642e-05 -1.53590702e+00 
 7.27511642e-05 -6.50341159e-01  7.27511642e-05 -1.53588912e+00 
 7.40011642e-05 -6.50339714e-01  7.40011642e-05 -1.53587015e+00 
 7.52511642e-05 -6.50337924e-01  7.52511642e-05 -1.53585032e+00 
 7.65011642e-05 -6.50335841e-01  7.65011642e-05 -1.53582978e+00 
 7.77511642e-05 -6.50333508e-01  7.77511642e-05 -1.53580866e+00 
 7.90011642e-05 -6.50330961e-01  7.90011642e-05 -1.53578709e+00 
 8.02511642e-05 -6.50328231e-01  8.02511642e-05 -1.53576514e+00 
 8.15011642e-05 -6.50325344e-01  8.15011642e-05 -1.53574291e+00 
 8.27511642e-05 -6.50322322e-01  8.27511642e-05 -1.53572044e+00 
 8.40011642e-05 -6.50319184e-01  8.40011642e-05 -1.53569779e+00 
 8.52511642e-05 -6.50315945e-01  8.52511642e-05 -1.53567501e+00 
 8.65011642e-05 -6.50312619e-01  8.65011642e-05 -1.53565213e+00 
 8.77511642e-05 -6.50309218e-01  8.77511642e-05 -1.53562917e+00 
 8.90011642e-05 -6.50305751e-01  8.90011642e-05 -1.53560616e+00 
 9.02511642e-05 -6.50302227e-01  9.02511642e-05 -1.53558311e+00 
 9.15011642e-05 -6.50298654e-01  9.15011642e-05 -1.53556003e+00 
 9.27511642e-05 -6.50295038e-01  9.27511642e-05 -1.53553695e+00 
 9.40011642e-05 -6.50291383e-01  9.40011642e-05 -1.53551386e+00 
 9.52511642e-05 -6.50287696e-01  9.52511642e-05 -1.53549077e+00 
 9.65011642e-05 -6.50283980e-01  9.65011642e-05 -1.53546769e+00 
 9.77511642e-05 -6.50280239e-01  9.77511642e-05 -1.53544462e+00 
 9.90011642e-05 -6.50276476e-01  9.90011642e-05 -1.53542157e+00 
 1.00251164e-04 -6.50272693e-01  1.00251164e-04 -1.53539853e+00 
 1.01501164e-04 -6.50268894e-01  1.01501164e-04 -1.53537550e+00 
 1.02751164e-04 -6.50265081e-01  1.02751164e-04 -1.53535248e+00 
 1.04001164e-04 -6.50261257e-01  1.04001164e-04 -1.53532947e+00 
 1.05251164e-04 -6.50257422e-01  1.05251164e-04 -1.53530646e+00 
 1.06501164e-04 -6.50253579e-01  1.06501164e-04 -1.53528346e+00 
 1.07751164e-04 -6.50249729e-01  1.07751164e-04 -1.53526046e+00 
 1.09001164e-04 -6.50245873e-01  1.09001164e-04 -1.53523747e+00 
 1.10251164e-04 -6.50242011e-01  1.10251164e-04 -1.53521448e+00 
 1.11501164e-04 -6.50238145e-01  1.11501164e-04 -1.53519150e+00 
 1.12751164e-04 -6.50234274e-01  1.12751164e-04 -1.53516852e+00 
 1.14001164e-04 -6.50230400e-01  1.14001164e-04 -1.53514554e+00 
 1.15251164e-04 -6.50226521e-01  1.15251164e-04 -1.53512257e+00 
 1.16501164e-04 -6.50222640e-01  1.16501164e-04 -1.53509960e+00 
 1.17751164e-04 -6.50218756e-01  1.17751164e-04 -1.53507665e+00 
 1.19001164e-04 -6.50214870e-01  1.19001164e-04 -1.53505369e+00 
 1.20251164e-04 -6.50210981e-01  1.20251164e-04 -1.53503074e+00 
 1.21501164e-04 -6.50207090e-01  1.21501164e-04 -1.53500780e+00 
 1.22751164e-04 -6.50203197e-01  1.22751164e-04 -1.53498486e+00 
 1.24001164e-04 -6.50199303e-01  1.24001164e-04 -1.53496193e+00 
 1.25251164e-04 -6.50195407e-01  1.25251164e-04 -1.53493900e+00 
 1.26501164e-04 -6.50191509e-01  1.26501164e-04 -1.53491608e+00 
 1.27751164e-04 -6.50187610e-01  1.27751164e-04 -1.53489316e+00 
 1.29001164e-04 -6.50183710e-01  1.29001164e-04 -1.53487025e+00 
 1.30251164e-04 -6.50179809e-01  1.30251164e-04 -1.53484734e+00 
 1.31501164e-04 -6.50175906e-01  1.31501164e-04 -1.53482444e+00 
 1.32751164e-04 -6.50172002e-01  1.32751164e-04 -1.53480153e+00 
 1.34001164e-04 -6.50168097e-01  1.34001164e-04 -1.53477864e+00 
 1.35251164e-04 -6.50164191e-01  1.35251164e-04 -1.53475574e+00 
 1.36501164e-04 -6.50160285e-01  1.36501164e-04 -1.53473285e+00 
 1.37751164e-04 -6.50156378e-01  1.37751164e-04 -1.53470996e+00 
