branch,cycle,phase,Q_signed,sign,abs_ratio_vs_prev,in_window,sink_off_ok
D4,48,B,1.021744e+06,+,1.203270,1,1
D4,49,B,1.229434e+06,+,1.203270,1,1
D4,50,B,1.479341e+06,+,1.203270,1,1
D4,51,B,1.780047e+06,+,1.203270,1,1
D4,52,B,2.141878e+06,+,1.203270,1,1
D4,53,B,2.577258e+06,+,1.203270,1,1
D4,54,B,3.101137e+06,+,1.203270,1,1
D4,55,B,3.731505e+06,+,1.203270,1,1
D4,56,B,4.490009e+06,+,1.203270,1,1
D4,57,B,5.402694e+06,+,1.203270,1,1
D4,58,B,6.500900e+06,+,1.203270,1,1
D4,59,B,7.822338e+06,+,1.203270,1,1
