gap,dtheta_deg,r_mm,d_ball_mm,rpm,overlap_deg,t_overlap_us,t_need_us,spacing_deg,A1_fits,A1_margin_us,A2_nocross,A2_margin_deg,A3_envelope,A4_strike,eta_real,viable
SG3b,-6,387,8,4500,1.481,54.83,4.30,2.85,True,50.5,True,1.37,True,True,0.7057,True
SG3b,-6,387,8,6000,1.481,41.13,4.30,2.85,True,36.8,True,1.37,True,True,0.7062,True
SG3b,-6,387,12,3000,2.073,115.15,4.30,2.85,True,110.9,True,0.78,True,True,0.7034,True
SG3b,-6,387,12,4500,2.073,76.77,4.30,2.85,True,72.5,True,0.78,True,True,0.7048,True
SG3b,-6,387,12,6000,2.073,57.58,4.30,2.85,True,53.3,True,0.78,True,True,0.7056,True
SG3b,-6,387,16,3000,2.665,148.05,4.30,2.85,True,143.8,True,0.19,True,True,0.7022,True
SG3b,-6,387,16,4500,2.665,98.70,4.30,2.85,True,94.4,True,0.19,True,True,0.7040,True
SG3b,-6,387,16,6000,2.665,74.03,4.30,2.85,True,69.7,True,0.19,True,True,0.7049,True
SG3b,-6,387,20,3000,3.257,180.95,4.30,2.85,True,176.7,False,-0.41,True,True,0.7009,False
SG3b,-6,387,20,4500,3.257,120.63,4.30,2.85,True,116.3,False,-0.41,True,True,0.7032,False
SG3b,-6,387,20,6000,3.257,90.48,4.30,2.85,True,86.2,False,-0.41,True,True,0.7043,False
SG3b,-6,450,4,3000,0.764,42.44,4.30,2.85,True,38.1,True,2.09,True,True,0.7061,True
SG3b,-6,450,4,4500,0.764,28.29,4.30,2.85,True,24.0,True,2.09,True,True,0.7067,True
SG3b,-6,450,4,6000,0.764,21.22,4.30,2.85,True,16.9,True,2.09,True,True,0.7069,True
SG3b,-6,450,8,3000,1.273,70.74,4.30,2.85,True,66.4,True,1.58,True,True,0.7051,True
SG3b,-6,450,8,4500,1.273,47.16,4.30,2.85,True,42.9,True,1.58,True,True,0.7060,True
SG3b,-6,450,8,6000,1.273,35.37,4.30,2.85,True,31.1,True,1.58,True,True,0.7064,True
SG3b,-6,450,12,3000,1.783,99.03,4.30,2.85,True,94.7,True,1.07,True,True,0.7040,True
SG3b,-6,450,12,4500,1.783,66.02,4.30,2.85,True,61.7,True,1.07,True,True,0.7052,True
SG3b,-6,450,12,6000,1.783,49.51,4.30,2.85,True,45.2,True,1.07,True,True,0.7059,True
SG3b,-6,450,16,3000,2.292,127.32,4.30,2.85,True,123.0,True,0.56,True,True,0.7029,True
SG3b,-6,450,16,4500,2.292,84.88,4.30,2.85,True,80.6,True,0.56,True,True,0.7045,True
SG3b,-6,450,16,6000,2.292,63.66,4.30,2.85,True,59.4,True,0.56,True,True,0.7053,True
